New LocID_new,New LocID,Location_Desc,Location_Name,StateCoID,TRS,Details,Elev,Meters?,NS,EW,DecimalLat,DecimalLon,Degree Lat,Degree Lon,UTMZone,UTMEW,UTMNS,LocMeth,DateStamp,LocID,Notes,Biotic Prov,Habitat,Jurisdiction,ProjectID,ProjLoc,Plot,GeoRef
40,-123456818,"Mount Tzuhalem Ecological Reserve, nr. Duncan","MZ",3.1490000000000000e+03,,,,0,,,"48.78617 N","-123.63399 W","48° 47' 27.3""N","123° 38' 19.2""W",,,,,,,,,,,,,0,
41,-123456819,"Mesachie Mountain, nr. Mesachie Lake","MM",3.1490000000000000e+03,,,,0,,,"48.81749 N","-124.11746 W","48° 49' 03.0""N","124° 07' 02.9""W",,,,,,,,,,,,,0,
42,-123456820,"Fairview Gold Monument nr. Oliver",,3.1490000000000000e+03,,,,0,,,,,,,,,,,,,,,,,,,0,
43,-123456821,"Naramata Bench",,3.1490000000000000e+03,,,,0,,,,,,,,,,,,,,,,,,,0,
44,-123456822,"Allendale Road, Okanagan Falls",,3.1490000000000000e+03,,,,0,,,,,,,,,,,,,,,,,,,0,
45,-123456823,"White Lake",,3.1490000000000000e+03,,,,0,,,,,,,,,,,,,,,,,,,0,
46,-123456824,"Haynes Lease, nr. Oliver",,3.1490000000000000e+03,,,,0,,,,,,,,,,,,,,,,,,,0,
47,-123456825,"Scudder House, Okanagan Falls",,3.1490000000000000e+03,,,,0,,,,,"49° 17' 01.38""N","119° 31' 09.25""W",,,,,,,,,,,,,0,
48,-123456826,"Fortis, nr. Okanagan Falls",,3.1490000000000000e+03,,,,0,,,,,"49° 15' 12.22""N","119° 31' 21.26""W",,,,,,,,,,,,,0,
49,-123456827,"South Okanagan 1",,3.1490000000000000e+03,,,,0,,,,,"49° 19' 54.96""N","119° 31' 56.85""W",,,,,,,,,,,,,0,
50,-123456828,"South Okanagan 2",,3.1490000000000000e+03,,,,0,,,,,"49° 19' 44.09""N","119° 31' 50.05""W",,,,,,,,,,,,,0,
51,-123456829,"South Okanagan 3",,3.1490000000000000e+03,,,,0,,,,,,,,,,,,,,,,,,,0,
52,-123456830,"South Okanagan 4",,3.1490000000000000e+03,,,,0,,,,,,,,,,,,,,,,,,,0,
53,-123456831,"Haynes Lease Ecological Reserve Grazed","HLG",3.1490000000000000e+03,,,,0,,,,,"49° 05' 28.8""N","119° 31' 37.8""W",,,,,,,,,,,,,0,
54,-123456832,"Haynes Lease Ecological Reserve Ungrazed","HLU",3.1490000000000000e+03,,,,0,,,,,"49° 05' 14.5""N","119° 31' 04.2""W",,,,,,,,,,,,,0,
55,-123456833,"White Lake Biodiversity Ranch Grazed","WLG",3.1490000000000000e+03,,,,0,,,,,"49° 18' 42.6""N","119° 40' 47.9""W",,,,,,,,,,,,,0,
56,-123456834,"White Lake Biodiversity Ranch Ungrazed","WLU",3.1490000000000000e+03,,,,0,,,,,"49° 18' 09.4""N","119° 37' 49.1""W",,,,,,,,,,,,,0,
57,-123456835,"S.Okanagan Grasslands Grazed","SOG",3.1490000000000000e+03,,,,0,,,,,"49° 00' 41.0""N","119° 37' 14.0""W",,,,,,,,,,,,,0,
58,-123456836,"S.Okanagan Grasslands Ungrazed","SOU",3.1490000000000000e+03,,,,0,,,,,"49° 00' 55.2""N","119° 35' 15.9""W",,,,,,,,,,,,,0,
59,-123456837,"Mt. Oliver Protected Area Grazed","OKG",3.1490000000000000e+03,,,,0,,,,,"49° 11' 03.5""N","119° 35' 07.9""W",,,,,,,,,,,,,0,
60,-123456838,"Kennedy Bench Cons. Area Ungrazed","OKU",3.1490000000000000e+03,,,,0,,,,,"49° 15' 43.6""N","119° 30' 33.6""W",,,,,,,,,,,,,0,
61,-123456839,"Demelo Orchard","YOS",3.1490000000000000e+03,,,,0,,,,,"49° 3' 24.20""N","119° 30' 40.88""W",,,,,,,,,,,,,0,
62,-123456840,"Osoyoos Desert Centre","YDC",3.1490000000000000e+03,,,,0,,,,,"49° 3'  8.44""N","119° 31' 5.66""W",,,,,,,,,,,,,0,
63,-123456841,"Norton farm","ONR",3.1490000000000000e+03,,,,0,,,,,"49° 10' 6.03""N","119° 34' 45.98""W",,,,,,,,,,,,,0,
64,-123456842,"Test Orchard","OTO",3.1490000000000000e+03,,,,0,,,,,"49° 13' 53.85""N","119° 34' 0.56""W",,,,,,,,,,,,,0,
65,-123456843,"O'Reilly's Farm","OOR",3.1490000000000000e+03,,,,0,,,,,"49° 12' 37.53""N","119° 33' 19.49""W",,,,,,,,,,,,,0,
66,-123456844,"MacDonald Farm","ORM",3.1490000000000000e+03,,,,0,,,,,"49° 12' 30.62""N","119° 33' 22.54""W",,,,,,,,,,,,,0,
67,-123456845,"Oliver Mountain","OMT",3.1490000000000000e+03,,,,0,,,,,"49° 11' 0.75""N","119° 35' 4.46""W",,,,,,,,,,,,,0,
68,-123456846,"White Lake GL EDGE","OWL",3.1490000000000000e+03,,,,0,,,,,"49° 14' 5.10""N","119° 34' 18.97""W",,,,,,,,,,,,,0,
69,-123456847,"Kato Orchard","NRK",3.1490000000000000e+03,,,,0,,,,,"49° 35' 42.27""N","119° 34' 45.49""W",,,,,,,,,,,,,0,
70,-123456848,"Jones Orchard","NKJ",3.1490000000000000e+03,,,,0,,,,,"49° 36' 31.30""N","119° 35' 48.19""W",,,,,,,,,,,,,0,
71,-123456849,"Simonsen Orchard","NPS",3.1490000000000000e+03,,,,0,,,,,"49° 36' 48.45""N","119° 35' 36.04""W",,,,,,,,,,,,,0,
72,-123456850,"Wheeler property","NLW",3.1490000000000000e+03,,,,0,,,,,"49° 36' 20.88""N","119° 35' 7.47""W",,,,,,,,,,,,,0,
73,-123456851,"Johnson Orchard","SDH",3.1490000000000000e+03,,,,0,,,,,"49° 34' 4.33""N","119° 39' 26.20""W",,,,,,,,,,,,,0,
74,-123456852,"Johnson Fulton Rd","SDO",3.1490000000000000e+03,,,,0,,,,,"49° 35' 49.02""N","119° 39' 26.98""W",,,,,,,,,,,,,0,
75,-123456853,"Bennest Orchard","SLO",3.1490000000000000e+03,,,,0,,,,,"49° 34' 19.89""N","119° 39' 22.18""W",,,,,,,,,,,,,0,
76,-123456854,"Happy Valley Farm","SHV",3.1490000000000000e+03,,,,0,,,,,"49° 34' 43.36""N","119° 38' 58.75""W",,,,,,,,,,,,,0,
77,-123456855,"Giant's Head Park","SGH",3.1490000000000000e+03,,,,0,,,,,"49° 35' 44.65""N","119° 40' 14.68""W",,,,,,,,,,,,,0,
78,-123456856,"Carter Orchard","SCA",3.1490000000000000e+03,,,,0,,,,,"49° 35' 7.03""N","119° 41' 44.74""W",,,,,,,,,,,,,0,
79,-123456857,"Bear's Farm","KBF",3.1490000000000000e+03,,,,0,,,,,"49° 13' 06"" N","119° 49' 24"" W",,,,,,,,,,,,,0,
80,-123456858,"Walters Middle Bench Rd. Lease","KMB",3.1490000000000000e+03,,,,0,,,,,"49° 12' 33.95""N","119° 47' 39.98""W",,,,,,,,,,,,,0,
81,-123456859,"Walters Hwy Lease","KHW",3.1490000000000000e+03,,,,0,,,,,"49° 12' 30.47""N","119° 48' 51.19""W",,,,,,,,,,,,,0,
82,-123456860,"Walters Farm","KHP",3.1490000000000000e+03,,,,0,,,,,"49° 12' 48.40""N","119° 48' 30.96""W",,,,,,,,,,,,,0,
83,-123456861,"Lina's Garden","CAL",3.1490000000000000e+03,,,,0,,,,,"49° 11' 9.74""N","119° 45' 43.62""W",,,,,,,,,,,,,0,
84,-123456862,"Brown-Schneider Farm","CSB",3.1490000000000000e+03,,,,0,,,,,"49° 10' 27.52""N","119° 45' 22.77""W",,,,,,,,,,,,,0,
85,-123456863,"Stewart Farm","CES",3.1490000000000000e+03,,,,0,,,,,"49° 09' 46"" N","119° 45' 39"" W",,,,,,,,,,,,,0,
86,-123456864,"Honest Foods","CHF",3.1490000000000000e+03,,,,0,,,,,"49° 11' 43.46""N","119° 45' 53.91""W",,,,,,,,,,,,,0,
87,-123456865,"Honest Foods Becks Rd","CHFB",3.1490000000000000e+03,,,,0,,,,,"49° 12' 25.77""N","119° 47' 26.06""W",,,,,,,,,,,,,0,
88,-123456866,"Harker's Organics","CHA",3.1490000000000000e+03,,,,0,,,,,"49° 11' 17.92""N","119° 45' 54.83""W",,,,,,,,,,,,,0,
89,-123456867,"Nelson Farm","CFN",3.1490000000000000e+03,,,,0,,,,,"49° 10' 49.97""N","119° 45' 8.28""W",,,,,,,,,,,,,0,
90,-123456868,"Nelson Lease","CFO",3.1490000000000000e+03,,,,0,,,,,"49° 10' 28"" N","119° 44' 44"" W",,,,,,,,,,,,,0,
91,-123456869,"Mariposa Organics","CMO",3.1490000000000000e+03,,,,0,,,,,"49° 1' 47.05""N","119° 41' 50.57""W",,,,,,,,,,,,,0,
92,-123456870,"Snowy Mountain Organic Farm","CWH",3.1490000000000000e+03,,,,0,,,,,"49° 5' 20.16""N","119° 44' 4.61""W",,,,,,,,,,,,,0,
93,-123456871,"Covert Farms","OCF",3.1490000000000000e+03,,,,0,,,,,"49° 14' 59"" N","119° 33' 34"" W",,,,,,,,,,,,,0,
94,-123456872,"Ripley Lake MoF Rec Area","RLK",3.1490000000000000e+03,,,,0,,,,," 49°14'30.29""N","119°38'9.72""W",,,,,,,,,,,,,0,
95,-123456873,"Oliver-Cawston Rd ~km 6","OCR6",3.1490000000000000e+03,,,,0,,,,,"49°13'45.20""N","119°39'1.63""W",,,,,,,,,,,,,0,
96,-123456874,"Oliver-Cawston Rd ~km 2","OCR2",3.1490000000000000e+03,,,,0,,,,," 49°12'43.03""N","119°41'44.25""W",,,,,,,,,,,,,0,
97,-123456875,"Oliver Cawston Rd ~km 3","OCR3",3.1490000000000000e+03,,,,0,,,,,"49°13'22.27""N","119°40'27.38""W",,,,,,,,,,,,,0,
98,-123456876,"Scudder House","OSH",3.1490000000000000e+03,,,,0,,,,," 49°17'2.54""N","119°31'8.03""W",,,,,,,,,,,,,0,
99,-123456877,"Juniper Beach","JNB",3.1490000000000000e+03,,,,0,,,,," 50°47'19.75""N","121° 4'21.64""W",,,,,,,,,,,,,0,
100,-123456878,"MacDonald-O'Reilly Wetland","ORW",3.1490000000000000e+03,,,,0,,,,,"49°12'29.84""N","119°33'16.78""W",,,,,,,,,,,,,0,
101,-123456879,"Randhawa Farm Abbotsford (Highbush Blueberry cv Bluecrop)","ABR-B",3.1490000000000000e+03,,,,0,,,,,"49°7'38.72""N","122°25'5.17""W",,,,,,,,,,,,,0,
102,-123456880,"Randhawa Farm Abbotsford (Highbush Blueberry cv Duke)","ABR-D",3.1490000000000000e+03,,,,0,,,,,"49°7'34.46""N","122°25'7.74""W",,,,,,,,,,,,,0,
103,-123456881,"Onnink Farm Abbotsford (Highbush Blueberry cv Bluecrop)","AHO",3.1490000000000000e+03,,,,0,,,,,"49°4'36.33""N","122°23'18.80""W",,,,,,,,,,,,,0,
104,-123456882,"Smith Farm Abbotsford (Highbush Blueberry cv Bluecrop)","AHS-B",3.1490000000000000e+03,,,,0,,,,,"49°7'51.57""N","122°15'36.13""W",,,,,,,,,,,,,0,
105,-123456883,"Smith Farm Abbotsford (Highbush Blueberry cv Duke)","AHS-D",3.1490000000000000e+03,,,,0,,,,,"49°7'55.94""N","122°15'29.27""W",,,,,,,,,,,,,0,
106,-123456884,"Makara Farm Abbotsford (Highbush Blueberry cv Bluecrop)","AMM-B",3.1490000000000000e+03,,,,0,,,,,"49°5'58.68""N","122°15'40.63""W",,,,,,,,,,,,,0,
107,-123456885,"Makara Farm Abbotsford (Highbush Blueberry cv Duke)","AMM-D",3.1490000000000000e+03,,,,0,,,,,"49°5'49.90""N","122°15'40.26""W",,,,,,,,,,,,,0,
108,-123456886,"Gemmell Farm Pitt Meadows (Highbush Blueberry cv Bluecrop)","PDG-B",3.1490000000000000e+03,,,,0,,,,,"49°15'39.09""N","122°42'6.84""W",,,,,,,,,,,,,0,
109,-123456887,"Gemmell Farm Pitt Meadows (Highbush Blueberry cv Duke)","PDG-D",3.1490000000000000e+03,,,,0,,,,,"49°15'39.31N","122°42'15.99""W",,,,,,,,,,,,,0,
110,-123456888,"Biln Farm Pitt Meadows (Highbush Blueberry cv Bluecrop)","PRB-B",3.1490000000000000e+03,,,,0,,,,,"49°15'16.06""N","122°37'5.66""W",,,,,,,,,,,,,0,
111,-123456889,"Biln Farm Pitt Meadows (Highbush Blueberry cv Duke)","PRB-D",3.1490000000000000e+03,,,,0,,,,,"49°15'8.16""N","122°37'15.49""W",,,,,,,,,,,,,0,
112,-123456890,"Thiara Farm Pitt Meadows (Highbush Blueberry cv Bluecrop)","PRT-B",3.1490000000000000e+03,,,,0,,,,,"49°13'22.50""N","122°44'56.81""W",,,,,,,,,,,,,0,
113,-123456891,"Thiara Farm Pitt Meadows (Highbush Blueberry cv Duke)","PRT-D",3.1490000000000000e+03,,,,0,,,,,"49°13'35.60""N","122°45'4.13W",,,,,,,,,,,,,0,
114,-123456892,"Gaskin Farm Port Coquitlam (Highbush Blueberry cv Bluecrop","PSK-B",3.1490000000000000e+03,,,,0,,,,,"49°17'13.13""N","122°42'33.46""W",,,,,,,,,,,,,0,
115,-123456893,"Gaskin Farm Port Coquitlam (Highbush Blueberry cv Duke)","PSK-D",3.1490000000000000e+03,,,,0,,,,,"49°16'54.60""N","122°42'34.31""W",,,,,,,,,,,,,0,
116,-123456894,"Johal Farm Pitt Meadows (Highbush Blueberry cv Bluecrop)","PTJ-B",3.1490000000000000e+03,,,,0,,,,,"49°16'2.05""N","122°38'24.06""W",,,,,,,,,,,,,0,
117,-123456895,"Johal Farm Pitt Meadows (Highbush Blueberry cv Duke)","PTJ-D",3.1490000000000000e+03,,,,0,,,,,"49°15'54.01""N","122°38'8.42""W",,,,,,,,,,,,,0,
118,-123456896,"Randhawa Farm Richmond (Highbush Blueberry cv Duke)","RBR",3.1490000000000000e+03,,,,0,,,,,"49°7'11.02""N","123°7'48.35""W",,,,,,,,,,,,,0,
119,-123456898,"Bates Farm Ladner (Highbush Blueberry cv Duke)","RKB",3.1490000000000000e+03,,,,0,,,,,"49°4'23.76""N","123°7'15.22""W",,,,,,,,,,,,,0,
120,-123456899,"Johal Farm Richmond (Highbush Blueberry cv Bluecrop)","RTJ",3.1490000000000000e+03,,,,0,,,,,"49°9'8.31""N","123° 4'21.18""W",,,,,,,,,,,,,0,
121,-123456900,"Randhawa Farm Delta (Highbush Blueberry cv Bluecrop)","SBR-B",3.1490000000000000e+03,,,,0,,,,,"49°6'29.59""N","122°54'19.16""W",,,,,,,,,,,,,0,
122,-123456901,"Randhawa Farm Delta (Highbush Blueberry cv Duke)","SBR-D",3.1490000000000000e+03,,,,0,,,,,"49°6'29.22""N","122°54'40.12""W",,,,,,,,,,,,,0,
123,-123456902,"Gill Home Farm Surrey (Highbush Blueberry cv Bluecrop)","SPG1-B",3.1490000000000000e+03,,,,0,,,,,"49°5'41.54""N","122°47'41.30""W",,,,,,,,,,,,,0,
124,-123456903,"Gill Home Farm Surrey (Highbush Blueberry cv Duke)","SPG1-D",3.1490000000000000e+03,,,,0,,,,,"49°5'42.19""N","122°47'49.52""W",,,,,,,,,,,,,0,
125,-123456904,"Gill 40th Farm Surrey (Highbush Blueberry cv Duke)","SPG2",3.1490000000000000e+03,,,,0,,,,,"49°4'26.49""N","122°48'56.36""W",,,,,,,,,,,,,0,
126,-123456905,"Gill Farm Surrey (Highbush Blueberry cv Duke)","SSG",3.1490000000000000e+03,,,,0,,,,,"49°5'5.82""N","122°45'2.48""W",,,,,,,,,,,,,0,
127,-123456906,"Dhaliwal Farm Abbotsford (Highbush Blueberry cv Bluecrop)","ABD",3.1490000000000000e+03,,,,0,,,,,"49°3'49.25""N","122°27'23.66""W",,,,,,,,,,,,,0,
128,-123456907,"Mahil Farm Abbotsford (Highbush Blueberry cv Bluecrop)","AHM",3.1490000000000000e+03,,,,0,,,,,"49°5'55.53""N","122°18'16.88""W",,,,,,,,,,,,,0,
129,-123456908,"Mandair Farm Abbotsford (Highbush Blueberry cv Bluecrop)","ASM",3.1490000000000000e+03,,,,0,,,,,"49°1'4.92""N","122°20'19.69""W",,,,,,,,,,,,,0,
131,-123456909,"Thind Farm Abbotsford (Highbush Blueberry cv Bluecrop)","AST",3.1490000000000000e+03,,,,0,,,,,"49°7'5.51""N","122°16'53.36""W",,,,,,,,,,,,,0,
132,-123456910,"Chong Farm Tilbury (Highbush Blueberry cv Bluecrop)","RNC",3.1490000000000000e+03,,,,0,,,,,"49°7'32.82""N","123°1'28.08""W",,,,,,,,,,,,,0,
133,-123456911,"Chong Farm Delta (Highbush Blueberry cv Bluecrop)","SNC",3.1490000000000000e+03,,,,0,,,,,"49°5'51.64""N","122°57'39.35""W",,,,,,,,,,,,,0,
134,-123456912,"Gill 168th Surrey (Highbush Blueberry cv Bluecrop)","SSG-B",3.1490000000000000e+03,,,,0,,,,,"49°5'53.59""N","122°46'8.75""W",,,,,,,,,,,,,0,
135,-123456913,"Brentwood Bay (Gardens), Central Saanich","BB",3.1490000000000000e+03,,,,0,,,,,"48° 34' 38""N","123° 27' 47""W",,,,,,,,,,,,,0,
136,-123456914,"Cadboro Bay (Gardens), Saanich","CB",3.1490000000000000e+03,,,,0,,,,,"48° 27' 48""N","123° 17' 36""W",,,,,,,,,,,,,0,
137,-123456915,"Highrock (Cairn) Park (Gardens), Esquimalt","HC-U",3.1490000000000000e+03,,,,0,,,,,"48° 26' 09""N","123° 24' 30""W",,,,,,,,,,,,,0,
138,-123456916,"Little Saanich Mountain (Forest) NRCan","LSM-F",3.1490000000000000e+03,,,,0,,,,,"48° 31' 03""N","123° 24' 57""W",,,,,,,,,,,,,0,
139,-123456917,"Mount Douglas Park (Forest), Saanich","MD-F",3.1490000000000000e+03,,,,0,,,,,"48° 29' 40""N","123° 20' 42""W",,,,,,,,,,,,,0,
140,-123456918,"Mount Tolmie Park (Gardens), Saanich","MT-U",3.1490000000000000e+03,,,,0,,,,,"48° 27' 20""N","123° 19' 20""W",,,,,,,,,,,,,0,
141,-123456919,"North Esquimalt (Gardens), Esquimalt","NE",3.1490000000000000e+03,,,,0,,,,,"48° 26' 33""N","123° 23' 47""W",,,,,,,,,,,,,0,
142,-123456920,"Oakhaven Park (Forest), Central Saanich","OH-F",3.1490000000000000e+03,,,,0,,,,,"48° 33' 51""N","123° 27' 03""W",,,,,,,,,,,,,0,
143,-123456921,"Thetis Lake Regional Park (Forest), Victoria CRD","TL-F",3.1490000000000000e+03,,,,0,,,,,"48° 28' 11""N","123° 27' 54""W",,,,,,,,,,,,,0,
144,-123456922,"Uplands Park (Gardens), Oak Bay","UP-U",3.1490000000000000e+03,,,,0,,,,,"48° 26' 32""N","123° 17' 41""W",,,,,,,,,,,,,0,
145,-123456923,"Victoria Centre (Gardens)","VC",3.1490000000000000e+03,,,,0,,,,,"48° 26' 01""N","123° 21' 14""W",,,,,,,,,,,,,0,
146,-123456924,"Christmas Hill (Gardens), Saanich","XH-U",3.1490000000000000e+03,,,,0,,,,,"48° 28' 25""N","123° 22' 21""W",,,,,,,,,,,,,0,
147,-123456925,"Fraserview Golf Course, Vancouver","FGC",3.1490000000000000e+03,,,,0,,,,,,,,,,,,,,,,,,,0,
148,-123456926,"UBC Farm, Vancouver","UBCF",3.1490000000000000e+03,,,,0,,,,,,,,,,,,,,,,,,,0,
149,-123456927,"Copley Community Orchard, Vancouver","CCO",3.1490000000000000e+03,,,,0,,,,,,,,,,,,,,,,,,,0,
150,-123456928,"Queen Elizabeth Park, Vancouver","QEP",3.1490000000000000e+03,,,,0,,,,,,,,,,,,,,,,,,,0,
151,-123456929,"Oak Meadows Park, Vancouver","OMP",3.1490000000000000e+03,,,,0,,,,,,,,,,,,,,,,,,,0,
152,-123456930,"Prairie Sky Farm, Northeast of Saskatoon","PSF",3.1600000000000000e+03,,,,0,,,,,"52° 11' 51.0""N","106° 22' 47.5""W",,,,,,,,,,,,,0,
153,-123456931,"Northeast Swale, Northeast of Saskatoon","NES",3.1600000000000000e+03,,,,0,,,,,"52° 10' 29.1""N","106° 34' 24.9""W",,,,,,,,,,,,,0,
