insect_sp,n,insect_order,cpf,social,nest_location,larval_diet,insect_guild,native,notes
Eristalis hirtus,176,Diptera,cpf_no,social_no,aquatic,detritivore,syrphidae,,
Andrena auricoma,173,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Anthidium manicatum,165,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Anthomyiidae sp.,165,Diptera,cpf_no,social_no,above,various,otherfly,,
Muscoidea,156,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Melanostoma mellinum,156,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Halictus ligatus,155,Hymenoptera,cpf_yes,social_yes,below,pollenivore,halictidae,,
Lasioglossum sp. 1,148,Hymenoptera,cpf_yes,unknown,below,pollenivore,halictidae,,
Agapostemon texanus,147,Hymenoptera,cpf_yes,social_no,below,pollenivore,halictidae,,
Adela septentrionella,142,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Eupeodes latifasciatus,139,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Platycheirus stegnus,137,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Lasioglossum pacificum,135,Hymenoptera,cpf_yes,social_no,below,pollenivore,halictidae,,
Halictus tripartitus,126,Hymenoptera,cpf_yes,social_yes,below,pollenivore,halictidae,,
Cortodera subpilosa,125,Coleoptera,cpf_no,social_no,below,herbivore,coleoptera,,
Osmia odontogaster,125,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia dolerosa,121,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Bombus centralis,118,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,,
Tachinidae,117,Diptera,cpf_no,social_no,above,parasite,otherfly,,
Bruchidae sp.,113,Coleoptera,cpf_no,social_no,above,herbivore,coleoptera,,deprecated
Andrena caerulea,112,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Lasioglossum nevadense,112,Hymenoptera,cpf_yes,social_yes,below,pollenivore,halictidae,,
Lasioglossum sp.,110,Hymenoptera,cpf_yes,unknown,below,pollenivore,halictidae,,
Osmia pusilla,110,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Andrena microchlora,109,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Bombus impatiens,109,Hymenoptera,cpf_yes,social_yes,below,pollenivore,apidae,,
Lasioglossum laevissimum,109,Hymenoptera,cpf_yes,social_yes,below,pollenivore,halictidae,,
Osmia coloradensis,109,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Buprestidae sp. 1,104,Coleoptera,cpf_no,social_no,both,herbivore,coleoptera,,
Eristalis arbustorum,103,Diptera,cpf_no,social_no,aquatic,detritivore,syrphidae,,
Diptera,102,Diptera,cpf_no,social_no,various,various,otherhym,,
Lasioglossum sp. 3,100,Hymenoptera,cpf_yes,unknown,below,pollenivore,halictidae,,
Cortodera sp.,99,Coleoptera,cpf_no,social_no,below,herbivore,coleoptera,,
Andrena nivalis,98,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Conophorus columbiensis,96,Diptera,cpf_no,social_no,below,detritivore,bombyliidae,,
Rhamphomyia sp. 1,96,Diptera,cpf_no,social_no,above,predator,otherfly,,
Ceratina nanula,92,Hymenoptera,cpf_yes,social_no,above,pollenivore,apidae,,
Andrena astragali,91,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena vicinoides,91,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Osmia californica,91,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Eristalis tenax,88,Diptera,cpf_no,social_no,aquatic,detritivore,syrphidae,,
Andrena miserabilis,80,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Lasioglossum pruinosum,79,Hymenoptera,cpf_yes,social_yes,below,pollenivore,halictidae,,
Eupeodes volucris,78,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Lycaenidae,77,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Megachile perihirta,75,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Scaeva pyrastri,75,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Panurginus atriceps,74,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Osmia tristella,74,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Lasioglossum sisymbrii,73,Hymenoptera,cpf_yes,social_no,below,pollenivore,halictidae,,
Andrena prunorum,71,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Cheilosia rita,71,Diptera,cpf_no,social_no,above,herbivore,syrphidae,,
Osmia albolateralis,69,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Peleteria,69,Diptera,cpf_no,social_no,various,parasite,otherfly,,
Nomada (Nomada) sp. 2,65,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Halictus farinosus,65,Hymenoptera,cpf_yes,social_yes,below,pollenivore,halictidae,,
Andrena merriami,64,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena subtilis,64,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Conophorus sackenii,62,Diptera,cpf_no,social_no,below,detritivore,bombyliidae,,
Syrphus opinator,60,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Sphaerophoria philanthus,59,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Melissodes microsticta,58,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Mordella sp.,58,Coleoptera,cpf_no,social_no,TDB,,coleoptera,,
Syritta pipiens,57,Diptera,cpf_no,social_no,above,predator,syrphidae,non-native,
Megachile melanophaea,56,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Muscidae sp.,56,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Colletes kincaidii,55,Hymenoptera,cpf_yes,social_no,below,pollenivore,colletidae,,
Lygaeidae sp.1,53,Hemiptera,cpf_no,social_no,above,herbivore,non-pollinator,,
Andrena chlorogaster,52,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena trevoris,49,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Habropoda cineraria,47,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Eristalis dimidiatus,47,Diptera,cpf_no,social_no,aquatic,detritivore,syrphidae,,
Osmia trevoris,46,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Hylaeus modestus,45,Hymenoptera,cpf_yes,social_no,above,pollenivore,colletidae,,
Dasysyrphus sp.,45,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Andrena cressonii,44,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena amphibola,43,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Eucera edwardsii,42,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Heriades carinatus,42,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Bombylius xanthothrix,40,Diptera,cpf_no,social_no,below,parasite,bombyliidae,,
Ceratina pacifica,39,Hymenoptera,cpf_yes,social_no,above,pollenivore,apidae,,
Sphecidae,39,Hymenoptera,cpf_no,social_no,below,predator,otherhym,,
Osmia kincaidii,38,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Andrena scurra,37,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Anthophora pacifica,37,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Eucera frater,36,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Anthaxia inornata,35,Coleoptera,cpf_no,social_no,both,herbivore,coleoptera,,
Agapostemon virescens,35,Hymenoptera,cpf_yes,social_no,below,pollenivore,halictidae,,
Gymnosoma fulginosa,35,Diptera,cpf_no,social_no,above,parasite,otherfly,,
Andrena aff. nasonii,34,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Nomada (Nomada) sp. 1,34,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Lasioglossum sp. 5,32,Hymenoptera,cpf_yes,unknown,below,pollenivore,halictidae,,
Andrena transnigra,31,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Bombus sitkensis,31,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,,
Nomada (Nomada) sp. 4,31,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Andrena sp.,30,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Bembix americana,30,Hymenoptera,cpf_yes,social_no,below,predator,apidae,,
Buprestidae,30,Coleoptera,cpf_no,social_no,both,herbivore,coleoptera,,
Scathophagidae sp.,30,Diptera,cpf_no,social_no,TDB,larval_TBD,otherfly,,
Lasioglossum albipenne,29,Hymenoptera,cpf_yes,social_yes,below,pollenivore,halictidae,,
Lasioglossum ruidosense,29,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Andrena hemileuca,28,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena sladeni,28,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Coleoptera sp. 5,28,Coleoptera,cpf_no,social_no,various,various,coleoptera,,
Ichneumonidae,28,Hymenoptera,cpf_no,social_no,above,parasite,otherhym,,
Andrena buckelli,27,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Sphaerophoria weemsi,27,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Lepidoptera,25,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Microlepidoptera sp.,25,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Dolichovespula arenaria,25,Hymenoptera,cpf_yes,social_yes,above,predator,otherhym,,
Polistes gallica,25,Hymenoptera,cpf_yes,social_yes,above,predator,otherhym,,
Hoplitis grinnelli,24,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Hemiptera misc.,24,Hemiptera,no,no,various,various,non-pollinator,,
Empis sp.,24,Diptera,cpf_no,social_no,below,predator,otherfly,,
Polistes dominula,24,Hymenoptera,cpf_yes,social_yes,above,predator,otherhym,,
Andrena w-scripta,23,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Nomada sp. OK4,23,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Cerambycidae sp. 6,23,Coleoptera,cpf_no,social_no,both,herbivore,coleoptera,,
Muscidae metallic sp. 1,23,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Tachina sp. 1,23,Diptera,cpf_no,social_no,above,parasite,otherfly,,
Villa sp. 6,23,Diptera,cpf_no,social_no,below,parasite,otherfly,,
Eumerus narcissi,23,Diptera,cpf_no,social_no,above,herbivore,syrphidae,,
Bombus griseocollis,22,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,,
Trichodes ornatus,22,Coleoptera,cpf_no,social_no,above,parasite,coleoptera,,
Lasioglossum sp. 2,22,Hymenoptera,cpf_yes,unknown,below,pollenivore,halictidae,,
Megachile rotundata,22,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Parancistrocerus,22,Hymenoptera,cpf_yes,social_no,both,predator,otherhym,,
Symphyta sp. 1,22,Hymenoptera,cpf_no,social_no,above,herbivore,otherhym,,
Eristalis transversa,22,Diptera,cpf_no,social_no,aquatic,detritivore,syrphidae,,
Osmia caerulescens,21,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia cyanella,21,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Rhamphomyia sp. 2,21,Diptera,cpf_no,social_no,above,predator,otherfly,,
Polistes sp.2,21,Hymenoptera,cpf_yes,social_yes,above,predator,otherhym,,
Eucera fulvitarsis,20,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Erynnis propertius,20,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Epalpus signifer,20,Diptera,cpf_no,social_no,above,parasite,otherfly,,
Polistes sp.1,20,Hymenoptera,cpf_yes,social_yes,above,predator,otherhym,,
Andrena chlorura,19,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Colletes fulgidus,19,Hymenoptera,cpf_yes,social_no,above,pollenivore,colletidae,,
Pompilidae,19,Hymenoptera,cpf_yes,social_no,below,predator,otherhym,,
Eupeodes curtus,19,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Sphecodes sp. 3,18,Hymenoptera,cpf_no,social_no,below,parasite,halictidae,,
Osmia sericea,18,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Sarcophagidae,18,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Zodion,18,Diptera,cpf_no,social_no,both,parasite,otherfly,,
Vespula sp.,18,Hymenoptera,cpf_yes,social_yes,above,predator,otherhym,,
Wasp,18,Hymenoptera,various,various,various,various,otherhym,,
Eristalis obscurus,18,Diptera,cpf_no,social_no,aquatic,detritivore,syrphidae,,
Platycheirus obscurus,18,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Andrena lupinorum,17,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena nigrihirta,17,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena sola,17,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Bombus occidentalis,17,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,,
Nomada (Nomada) sp. 3,17,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Hemipenthes sp. 2,17,Diptera,cpf_no,social_no,above,parasite,bombyliidae,,
Elateridae sp. 3,17,Coleoptera,cpf_no,social_no,above,herbivore,coleoptera,,
Lasioglossum sp. A,17,Hymenoptera,cpf_yes,unknown,below,pollenivore,halictidae,,
Hesperiidae sp.,17,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Megachile gemula,17,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia montana,17,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Formicidae,17,Hymenoptera,cpf_yes,social_yes,below,predator,otherhym,,
Priocnemis sp.,17,Hymenoptera,cpf_no,social_no,above,parasite,otherhym,,
Andrena pallidifovea,16,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena schuhi,16,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Bembix occidentalis,16,Hymenoptera,cpf_yes,social_no,below,predator,apidae,,
Bombus appositus,16,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,,
Bombus fervidus,16,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,,
Cerambycidae sp.2,16,Coleoptera,cpf_no,social_no,both,herbivore,coleoptera,,
Lasioglossum athabascense,16,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Heriades cressoni,16,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Philanthus sp. 2,16,Hymenoptera,cpf_yes,social_no,below,predator,otherhym,,
Paragus sp.2,16,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Elateridae sp. 4,15,Coleoptera,cpf_no,social_no,above,herbivore,coleoptera,,
Lasioglossum prasinogaster,15,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Lasioglossum sp. 10,15,Hymenoptera,cpf_yes,unknown,below,pollenivore,halictidae,,
Dalmannia,15,Diptera,cpf_no,social_no,above,parasite,otherfly,,
Ancistrocerus sp.,15,Hymenoptera,cpf_yes,social_no,both,predator,otherhym,,
Chrysura,15,Hymenoptera,cpf_no,social_no,above,parasite,otherhym,,
Syrphidae small,15,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Andrena candida,14,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena thaspii,14,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Bombus huntii,14,Hymenoptera,cpf_yes,social_yes,below,pollenivore,apidae,,
Elateridae sp. 5,14,Coleoptera,cpf_no,social_no,above,herbivore,coleoptera,,
Scarabaeidae sp.,14,Coleoptera,cpf_no,social_no,above,,coleoptera,,
Sphecodes sp. 4,14,Hymenoptera,cpf_no,social_no,below,parasite,halictidae,,
Hesperia,14,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Pieris rapae,14,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Osmia malina,14,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia marginipennis,14,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Dianthidium subparvum,14,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Lucilia sericata,14,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Myopa sp. 2,14,Diptera,cpf_no,social_no,above,predator,otherfly,,
Pipiza,14,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Epeolus minimus,13,Hymenoptera,cpf_no,social_no,below,pollenivore,apidae,,
Nomada sp. J,13,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Sphecodes sp.,13,Hymenoptera,cpf_no,social_no,below,parasite,halictidae,,
Osmia atrocyanea,13,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia densa,13,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Neorhynchocephalus sackenii,13,Diptera,cpf_no,social_no,above,parasite,otherfly,native,
Cephidae sp.,13,Hymenoptera,cpf_no,social_no,above,herbivore,otherhym,,
Chrysotoxum fasciatus,13,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Eristalis brousii,13,Diptera,cpf_no,social_no,aquatic,detritivore,syrphidae,,
Paragus sp.1,13,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Lasioglossum punctatoventre,12,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Lasioglossum sp. 9,12,Hymenoptera,cpf_yes,unknown,below,pollenivore,halictidae,,
Megachile relativa,12,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia bucephala,12,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
"Stelis ""albosignata""",12,Hymenoptera,cpf_no,social_no,below,parasite,megachilidae,,
Lygaeidae sp.2,12,Hemiptera,cpf_no,social_no,above,herbivore,non-pollinator,,
Miridae,12,Hemiptera,no,no,various,various,non-pollinator,,
Calliphoridae sp.,12,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Rhagio sp.,12,Diptera,cpf_no,social_no,above,predator,otherfly,,
Parasyrphus,12,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Platycheirus sp. 3,12,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Syrphus ribesii,12,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Bombus nevadensis,11,Hymenoptera,cpf_yes,social_yes,both,pollenivore,apidae,,
Ceratina micheneri,11,Hymenoptera,cpf_yes,social_no,above,pollenivore,apidae,,
Cerambycidae,11,Coleoptera,cpf_no,social_no,both,herbivore,coleoptera,,
Megachile frigida,11,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia bakeri,11,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Dolichovespula maculata,11,Hymenoptera,cpf_yes,social_yes,above,predator,otherhym,,
Hedychrum,11,Hymenoptera,cpf_no,social_no,above,parasite,otherhym,,
Philanthus,11,Hymenoptera,cpf_yes,social_no,below,predator,otherhym,,
Eupeodes lapponicus,11,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Elateridae sp. 6,10,Coleoptera,cpf_no,social_no,above,herbivore,coleoptera,,
Colletes consors,10,Hymenoptera,cpf_yes,social_no,above,pollenivore,colletidae,,
Lasioglossum sedi,10,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Icaricia sp.,10,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Thymelicus lineola,10,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,non-native,
Protosmia rubifloris,10,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Ammophila,10,Hymenoptera,cpf_yes,social_no,below,predator,otherhym,,
Paragus,10,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Nomada sp.,9,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. 11,9,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. 2,9,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. 4,9,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Calypte anna,9,Apodiformes,cpf_yes,social_no,above,various,aves,,
Lasioglossum brunneiventre,9,Hymenoptera,cpf_yes,TDB,below,pollenivore,halictidae,,
Lejops sp.,9,Diptera,cpf_no,social_no,TDB,,otherfly,,
Lonchaeidae sp.,9,Diptera,cpf_no,social_no,above,herbivore,otherfly,,
Lonchaeidae sp. 1,9,Diptera,cpf_no,social_no,above,herbivore,otherfly,,
Phorocera sp.,9,Diptera,cpf_no,social_no,various,parasite,otherfly,,
Physocephala sp. 1,9,Diptera,cpf_no,social_no,various,parasite,otherfly,,
Ancistrocerus,9,Hymenoptera,cpf_yes,social_no,both,predator,otherhym,,
Odynerus,9,Hymenoptera,cpf_no,social_no,both,predator,otherhym,,
Andrena anisochlora,8,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena crataegi,8,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Andrena vierecki,8,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Nomada sp. 10,8,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Nomada sp. OK5,8,Hymenoptera,cpf_no,social_no,below,parasite,apidae,,
Dermestidae sp.,8,Coleoptera,cpf_no,social_no,above,detritivore,coleoptera,,
Lasioglossum sp. 11,8,Hymenoptera,cpf_yes,unknown,below,pollenivore,halictidae,,
Hoplitis sambuci,8,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Coelioxys rufitarsis,8,Hymenoptera,cpf_no,social_no,above,pollenivore,megachilidae,,
Asilidae,8,Diptera,cpf_no,social_no,both,predator,otherfly,,
Lucilia illustris,8,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Lucilia sp.,8,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Ichneumonidae sp. 1,8,Hymenoptera,cpf_no,social_no,above,parasite,otherhym,,
Mischocyttarus flavitarsis,8,Hymenoptera,cpf_yes,social_yes,above,predator,otherhym,,
Tenthredinidae sp.,8,Hymenoptera,cpf_no,social_no,above,herbivore,otherhym,,
Eriozona erraticus,8,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Eristalis anthophorinus,8,Diptera,cpf_no,social_no,aquatic,detritivore,syrphidae,,
Eupeodes fumipennis/pomus,8,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Meliscaeva cinctella,8,Diptera,cpf_no,social_no,above,predator,syrphidae,,
Andrena perplexa,7,Hymenoptera,cpf_yes,social_no,below,pollenivore,andrenidae,,
Perdita fallax,7,Hymenoptera,cpf_yes,social_no,above,pollenivore,andrenidae,,
Bombus vandykei,7,Hymenoptera,cpf_yes,social_yes,below,pollenivore,apidae,,
Eucera virgata,7,Hymenoptera,cpf_yes,social_no,below,pollenivore,apidae,,
Leptura chrysocoma,7,Coleoptera,cpf_no,social_no,above,herbivore,coleoptera,,
Sphecodes sp. OK3,7,Hymenoptera,cpf_no,social_no,below,parasite,halictidae,,
Lycaenidae sp.1,7,Lepidoptera,cpf_no,social_no,above,herbivore,lepidoptera,,
Hoplitis sp. 1,7,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Megachile brevis,7,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Osmia texana,7,Hymenoptera,cpf_yes,social_no,above,pollenivore,megachilidae,,
Bibio sp. 2,7,Diptera,cpf_no,social_no,below,detritivore,otherfly,,
Hilara sp.,7,Diptera,cpf_no,social_no,below,predator,otherfly,,
Lauxanidae,7,Diptera,cpf_no,social_no,TDB,,otherfly,,
Muscidae sp. 2,7,Diptera,cpf_no,social_no,above,detritivore,otherfly,,
Thecophora sp. 1,7,Diptera,cpf_no,social_no,below,parasite,otherfly,,
Crabronidae sp.,7,Hymenoptera,cpf_no,social_no,TDB,predator,otherhym,,
Symphyta sp. 2,7,Hymenoptera,cpf_no,social_no,above,herbivore,otherhym,,
Vespula vulgaris,7,Hymenoptera,cpf_yes,social_yes,above,predator,otherhym,,
Platycheirus sp.,7,Diptera,cpf_no,social_no,above,predator,syrphidae,,
